msno,total_events,avg_reengagement_prob,min_reengagement_prob,max_reengagement_prob,segment,library_pct,tenure_days,risk_tier
EDouW1NFT3gj473oBaGWXBkZVgQXqiTWMMoGSb2u6b8=,38,0.037372703829901925,0.037372703829901925,0.037372703829901925,At risk,0.0,3,High risk
DGXBSOMkCAi+U/zOMpcVWbTPPie6D91Gytt9ibVDcs0=,1,0.0479079008542189,0.0479079008542189,0.0479079008542189,At risk,20.73,3,High risk
bKj+vHbOQtFkqjJcoo9N2rj6epnnXmyuz5yt/wtD7u8=,20,0.04890283815196364,0.043645610021479896,0.06116970378975904,At risk,0.0,7,High risk
WkUINu468GLDxrJyChWj+zk8m2r8685Ap9YiPfBJz5M=,21,0.050503947109612445,0.050503947109612445,0.050503947109612445,At risk,0.44,3,High risk
DLK/o5vIrzPhZDuNnN+HwlAKwgpIsi3tExH9151LrGQ=,78,0.051843129585282526,0.051843129585282526,0.051843129585282526,At risk,0.0,175,High risk
YTVaW102vZnK0RMH+Krc/7X9bB56yD080pAIn0FOD8M=,20,0.052468020180354555,0.052468020180354555,0.052468020180354555,At risk,0.0,93,High risk
2yyKywS7YEVH6CUo7aExcJxirzdCnWoGYG29W+HF0/c=,12,0.05255176772402065,0.048476410671227634,0.05631651367903766,At risk,10.48,7,High risk
0QvxpwDLhV/Y19c7tHv7X3opTC6DfgjDzsCoCJr2zwk=,19,0.05548535265069281,0.04298622507224141,0.16172793706752966,At risk,26.09,3,High risk
9JGoGHvrmZH9uADJ30EGpHMc3n9Sb6MzQ+TIrwpb8Do=,25,0.056339377390434056,0.04478186433327946,0.10878036585589819,At risk,0.0,2461,High risk
FFqt1Fmy012Jn+XqWTzKy/UJLWbHQJfyojsELQoFyw4=,6,0.056698987996595764,0.037372703829901925,0.0833175695907837,At risk,0.0,3,High risk
Qz5RGX5MoW7j4GY0M7NQgjDSYW/rA0WnL2xcZMXeHxU=,9,0.057039916119532665,0.050311160290312615,0.082957888576559,At risk,0.0,3,High risk
xkLtVRCuRiC5xZz/T7bM+webLtAppHQ3/z3H4Cv9laQ=,7,0.058156478805313085,0.054174535402662025,0.0597492561663735,At risk,0.0,3,High risk
bObVw9ouLRCEf1ncEaB+vfQJtCCaO7yZd+0i2rDCm/s=,8,0.06088466497516348,0.05377276094016688,0.11066799322013972,At risk,0.0,3,High risk
dWE83YuuoOmAkz6N/lTLJqe2Y6Ezy4yiGVreH0KaHC8=,7,0.06168502990762813,0.050311160290312615,0.09085058988947886,At risk,0.0,3,High risk
cDrnBkmM13SXXfrwdUVChgmFV2b9u7vj90PB6AHRDEM=,4,0.06271582669672787,0.06271582669672787,0.06271582669672787,At risk,0.0,7,High risk
dUkogf3HzKIsv1qn4AURp2/80ZBextM8j1ouiD0UjKw=,142,0.0629171816777475,0.056137634071393695,0.1982372709304322,At risk,56.76,551,High risk
XPlurRabNK4ZacM4GirWbbTsKMX5UvA4WNEuAvt9Wdw=,13,0.06350397788063514,0.06350397788063514,0.06350397788063514,At risk,0.0,7,High risk
pU4xIkTiJAnHNuZVUiN2tHmqRKByD9ynTobhXYjid8s=,1,0.06350397788063514,0.06350397788063514,0.06350397788063514,At risk,0.0,7,High risk
mD6kAikaU7adRkXEwbi1O0SKIjvSCahGyfCDqI5bYHc=,106,0.06435039567030124,0.06367544149736129,0.1352205838289963,At risk,0.0,1704,High risk
ppG6OPYo9dj8/44YFZAxwjV7tFScpvY3U4x6bmqxyS0=,336,0.0651187421832667,0.05600743444532134,0.21951600953197276,At risk,26.51,247,High risk
+P27WSUkfdJOXeksivSf7zNTtSfdbw5HX1mJkl2K2GE=,62,0.06543296271970153,0.037372703829901925,0.07532095864645406,At risk,0.0,3,High risk
cGrV8kCUnbURENYxP5hf806xhNEzJo8XSvMWRRd2KrA=,28,0.06613602548536786,0.06613602548536786,0.06613602548536786,At risk,0.0,3,High risk
0RgSAy0DNVDhb4W06igqbZLmvtKLjOcMluiqx5+1vIA=,7,0.06622132828998405,0.06459927191731091,0.07027646922166687,At risk,100.0,3,High risk
2HiuBY9W+aRUeecNC3pRmVlSNBTDVINaAbgSUV7qE+s=,48,0.06633470689504992,0.06633470689504992,0.06633470689504992,At risk,0.0,1030,High risk
AqV0VugXWVkiccMWJ26qAAYEmik/Q6Rv5n9R5Dk1Xk0=,2,0.0665206006225856,0.0665206006225856,0.0665206006225856,,46.59,381,High risk
1lQUhgvWWy4VcQ+IcimruxwuFivw4JatmSl2ueROHcs=,52,0.06710002211659927,0.06710002211659927,0.06710002211659927,At risk,0.0,789,High risk
LGQzwjWmopU8XlWVs2YIIge24CPOPGbJe01+kBtPEi8=,7,0.06717213069135418,0.03298833894531242,0.07532095864645406,At risk,0.0,3,High risk
Nx2vl1AAOteFnYwvUVcuU9FqXQoSKyEwhs6Egy7WvAc=,229,0.06751340540698889,0.05728128165668472,0.14388151739018126,At risk,0.0,2228,High risk
UutHM3+hWo8kYe+MfjklEtpMwlB13kgB+ymTDM4+Vzo=,47,0.06770257399593162,0.06727364527044762,0.0739935286363636,At risk,18.18,7,High risk
2eLhFZ0x3+TwI/7xMozjQZzpl4/E3lkZh1WNxGWda/M=,156,0.06795309102977172,0.06687050116635923,0.235754519858709,At risk,37.5,2000,High risk
sKJTbJG1TaAlh/8Sekf3yXY/ngwRKZpcIMVErQ/rzOo=,63,0.06878810289878093,0.06878810289878093,0.06878810289878093,At risk,0.0,608,High risk
DEMQ+OG1qhLve8RpyxkUkFwZ5OHMf/ykKktNer0S1sU=,24,0.06953571947756916,0.06930210720226529,0.07490880180955839,At risk,0.0,7,High risk
0yuzbqNbQ2wjaId6Is26ZpCsceI6bR8FTIy4aE5NB/I=,77,0.06999074530511604,0.06883627259123891,0.11328347207550793,At risk,2.06,243,High risk
wU8CcpgtqnhS1pDIrJ05NeBMe8WZIGhjGBMHwnZvPFk=,1,0.0700240578205212,0.0700240578205212,0.0700240578205212,At risk,100.0,33,High risk
ZozlydNqN9efm0eKYj/z/ZgpXj3GZ+cxtsOX6p2tAaU=,29,0.07014020700802254,0.07014020700802254,0.07014020700802254,,46.59,7,High risk
jZG31SPRmysxu+/4GdHmOpBu3nF1+jH1nZwOUw5rXQQ=,12,0.07035084945517803,0.07035084945517803,0.07035084945517803,At risk,0.0,250,High risk
+XRShPkkz0fEUToLzoyj/tF+/jyE83PNizYfujVfy4Q=,15,0.07069574315638803,0.07069574315638803,0.07069574315638803,At risk,0.0,0,High risk
MBD/61wZguOAKRO1cgYRUi8k5+2g389mvFN6RwC1LrU=,6,0.07078888864006022,0.06789554311131371,0.0852556162837928,At risk,0.0,1,High risk
LtP47m9XFfVwzpFe/l/fpb0XNScE/n2tzb9RgLnZ8IE=,39,0.07110108224109689,0.06801751099660223,0.07237912344954255,At risk,0.0,3,High risk
9OuLrGfxjOir10og2PKs3eZ/UYytqkNqijCgLWHc0qM=,2,0.0712660932808123,0.0712660932808123,0.0712660932808123,At risk,0.0,21,High risk
JjwgxwXPHB15EyaF1k/GL3oZi+g1bf8obiUGZos0fUY=,8,0.07148748472097584,0.050311160290312615,0.0745126739253563,At risk,0.0,3,High risk
izPxCzj99DsCubDbo9yZFI2vM3HDxSReI5Oo24RBkIA=,18,0.07153668963100462,0.06642830789886371,0.07200054115702334,At risk,0.0,0,High risk
d4LDYDk0EDf33lE76IavcLZnomnx8flA0653u2BXqS4=,48,0.07183407560504874,0.04938387788067106,0.12031896065790175,At risk,18.83,516,High risk
m0IeufrPXgUbUozTIm6R6FLSVXAw/x62xfn4ei66mx0=,38,0.0719291256482423,0.0719291256482423,0.0719291256482423,At risk,0.0,257,High risk
tVdMIdZac2MdMmBBNVxpHvokc66l4Gl6wtooutxSWgw=,15,0.07205299775025459,0.0720297030574483,0.07237912344954255,At risk,0.0,3,High risk
V7HuT+jBoJmNhpspenk1cSX8MYLpVw4xfMo9rbqcAwI=,13,0.07205577911946343,0.058275089346719634,0.08585522694482395,At risk,0.0,7,High risk
5Q5ekyjDUoxC0cXfwns/LZA7b9htjoZuUmYQIqehw28=,4,0.07214743971968371,0.04788633455724257,0.09640854488212486,At risk,1.15,3,High risk
a9NHfouBid+0BO41iVQef5whuUVElWSxFx862c3B+k0=,9,0.07237912344954255,0.07237912344954255,0.07237912344954255,At risk,0.0,3,High risk
BVH7onzVzpV6ZeUxvbxgZNPTrVuzMEnWpztRAs69BI8=,8,0.07237912344954255,0.07237912344954255,0.07237912344954255,At risk,0.0,3,High risk
IDGi7BNOQYAcpOrKDIc66DUhPClYL8t41DhVZTU5QaQ=,2,0.07237912344954255,0.07237912344954255,0.07237912344954255,At risk,0.0,3,High risk
+85qs4wXdxghsPlRmxbcwTwdyDCRJ3/65vgyKaiYk0g=,20,0.07241629037689885,0.07241629037689885,0.07241629037689885,At risk,0.0,7,High risk
GqsDHE6r2NIjjzpjTabyb/Pw0QKfM38rbwyJVIEMRB8=,54,0.07259251175476245,0.06359820997412335,0.08968689861083988,At risk,0.88,7,High risk
j3TALsHhJC1GQxW4hZOFU+jLn1Z8SofbRE3dDdw24a4=,97,0.07320418788761159,0.05142181750306355,0.07994216538370469,At risk,0.0,7,High risk
aTPqMyjBfTqQSAI8a0B91165ar0HiDLgwBL9sBXVTUA=,2,0.07322388393112793,0.07322388393112793,0.07322388393112793,At risk,93.22,3906,High risk
iG8aZGBbVDBv/Piz/Jmr2jgNYYN2/6sJvxoBDs//h4E=,44,0.07323968003406535,0.05377276094016688,0.12508882393378437,At risk,0.0,3,High risk
y/2HurHKKc5TmNtviGi/LpW2VePOmCCRRSXy0AnxRUM=,8,0.07329002712572145,0.06916578503267012,0.10215972177708077,At risk,0.0,21,High risk
